highlight;short;category;Period;Activity
TRUE;NA;outreach;2008;Public talk at Barcelona Science week. Parc de la ciutadella, Spain
TRUE;NA;outreach;2016;Outreach video explaining what happens to the bees. Translated to English, Spanish, Catalan and Eskera and reaching more than 20.000 visist in youtube (https://www.youtube.com/channel/UCDz0LPg5rXs2NxTmZASCbEQ)
TRUE;NA;outreach;2015 - Present;Leader of a _teaming_ group to create outreach material for bee entusiasts (https://www.teaming.net/cienciaparalasabejas)
TRUE;NA;outreach;2015;Instalation of a bee hotel for public display at Seville Botanical Garden (El Carambolo)
TRUE;NA;outreach;2016;"Organizing cometee of ""pint of science 2017"" in Sevilla (https://pintofscience.es/)"
TRUE;NA;outreach;2016;"Outreach talk during the Researchers night ""Noche investigadores 2016"" https://lanochedelosinvestigadores.fundaciondescubre.es/investigador/ignasi-bartomeus-roig/
"
TRUE;NA;outreach;2008 – Present;I am regularly interviewed in local radios (7 interviews) and my articles are frequently highlihted newspapers (> 50 times)
TRUE;NA;outreach;2008;"Aparence on local TV (TV3, show: ""El mediambient"")"
TRUE;NA;outreach;2015 & 2016;Talks with high School kids at Barcelona (Colegi Sant Antoni Maria Claret) and Sevilla (IES Galileo Galilei)
TRUE;NA;outreach;2016;Sevilla Science Fair (5-7 mayo 2016). Worshop about bee nests.
TRUE;NA;outreach;2016; Co-organizer of a round table on science and outreach (University of Sevilla, 6 Oct. 2016)
TRUE;NA;outreach;2011 & 2012;Invited talks at New York Horticultural society and Pennsylvania Native Plant Socienty.
TRUE;NA;outreach;2014;Poster at the public event during Researchers night 2014. Sevilla, Spain.
TRUE;NA;outreach;2010;Keynote-video introducing what_s pollination continuously screened during the National Pollination Week at the Mercers County Soil Conservation District. (http://youtu.be/JBUyK3GxBtU)
TRUE;NA;outreach;2011;Workshop with NJ tomato farmers  (http://www.bartomeus.cat/mm/file/tomato.pdf)
TRUE;NA;outreach;2017 - Present;COlaborator of "Fundación DesQbre" [(https://guiaexperta.fundaciondescubre.es/2016/12/20/ignasi-bartomeus/)](https://guiaexperta.fundaciondescubre.es/2016/12/20/ignasi-bartomeus/)
TRUE;NA;outreach; ;For links to radio, TV and newspaper coverage: [https://github.com/ibartomeus/CV/blob/master/media.md](https://github.com/ibartomeus/CV/blob/master/media.md)
